가해자차량용도대분류,가해자차량용도중분류,가해자차량용도,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
사업용,노선버스,시내버스,00시-02시,31,2,11,23,2
사업용,노선버스,시내버스,02시-04시,7,0,0,7,0
사업용,노선버스,시내버스,04시-06시,52,1,19,43,3
사업용,노선버스,시내버스,06시-08시,325,7,92,297,36
사업용,노선버스,시내버스,08시-10시,643,2,238,593,53
사업용,노선버스,시내버스,10시-12시,666,9,218,645,58
사업용,노선버스,시내버스,12시-14시,687,0,211,654,68
사업용,노선버스,시내버스,14시-16시,766,5,257,634,123
사업용,노선버스,시내버스,16시-18시,827,5,277,716,103
사업용,노선버스,시내버스,18시-20시,685,1,188,628,56
사업용,노선버스,시내버스,20시-22시,403,8,137,367,36
사업용,노선버스,시내버스,22시-24시,265,6,73,243,16
사업용,노선버스,시외버스,00시-02시,7,0,3,8,1
사업용,노선버스,시외버스,04시-06시,7,0,3,5,0
사업용,노선버스,시외버스,06시-08시,38,1,13,62,7
사업용,노선버스,시외버스,08시-10시,80,1,18,105,11
사업용,노선버스,시외버스,10시-12시,72,0,27,72,5
사업용,노선버스,시외버스,12시-14시,84,2,21,100,10
사업용,노선버스,시외버스,14시-16시,89,0,31,88,32
사업용,노선버스,시외버스,16시-18시,98,0,29,113,14
사업용,노선버스,시외버스,18시-20시,73,0,13,80,7
사업용,노선버스,시외버스,20시-22시,62,0,23,100,6
사업용,노선버스,시외버스,22시-24시,33,0,12,39,2
사업용,노선버스,고속버스,00시-02시,3,0,1,3,0
사업용,노선버스,고속버스,04시-06시,2,0,0,3,0
사업용,노선버스,고속버스,06시-08시,15,0,5,18,3
사업용,노선버스,고속버스,08시-10시,29,0,19,88,17
사업용,노선버스,고속버스,10시-12시,27,1,9,53,3
사업용,노선버스,고속버스,12시-14시,20,0,5,29,3
사업용,노선버스,고속버스,14시-16시,22,0,12,46,1
사업용,노선버스,고속버스,16시-18시,27,0,4,55,30
사업용,노선버스,고속버스,18시-20시,27,0,2,61,11
사업용,노선버스,고속버스,20시-22시,22,0,10,23,1
사업용,노선버스,고속버스,22시-24시,5,0,0,5,0
사업용,노선버스,마을버스,00시-02시,7,0,2,12,0
사업용,노선버스,마을버스,04시-06시,7,0,4,6,0
사업용,노선버스,마을버스,06시-08시,51,2,21,42,4
사업용,노선버스,마을버스,08시-10시,133,1,27,122,9
사업용,노선버스,마을버스,10시-12시,120,2,40,119,7
사업용,노선버스,마을버스,12시-14시,138,2,42,123,11
사업용,노선버스,마을버스,14시-16시,119,0,41,102,11
사업용,노선버스,마을버스,16시-18시,142,0,38,118,22
사업용,노선버스,마을버스,18시-20시,126,1,31,117,8
사업용,노선버스,마을버스,20시-22시,97,2,20,95,5
사업용,노선버스,마을버스,22시-24시,54,0,12,56,6
사업용,전세버스,전세버스,00시-02시,16,0,8,12,0
사업용,전세버스,전세버스,02시-04시,13,1,10,18,5
사업용,전세버스,전세버스,04시-06시,45,3,18,57,2
사업용,전세버스,전세버스,06시-08시,235,1,100,383,25
사업용,전세버스,전세버스,08시-10시,202,2,54,272,31
사업용,전세버스,전세버스,10시-12시,77,0,30,137,9
사업용,전세버스,전세버스,12시-14시,84,0,16,145,7
사업용,전세버스,전세버스,14시-16시,122,0,25,175,15
사업용,전세버스,전세버스,16시-18시,207,4,48,301,13
사업용,전세버스,전세버스,18시-20시,267,6,51,311,42
사업용,전세버스,전세버스,20시-22시,110,0,34,131,14
사업용,전세버스,전세버스,22시-24시,39,0,8,41,0
사업용,특수여객(장의),특수여객(장의),02시-04시,1,0,0,2,0
사업용,특수여객(장의),특수여객(장의),04시-06시,1,0,0,1,0
사업용,특수여객(장의),특수여객(장의),06시-08시,2,0,1,2,0
사업용,특수여객(장의),특수여객(장의),08시-10시,3,0,1,2,0
사업용,특수여객(장의),특수여객(장의),10시-12시,1,0,0,1,0
사업용,특수여객(장의),특수여객(장의),12시-14시,2,0,0,2,0
사업용,특수여객(장의),특수여객(장의),14시-16시,3,0,2,4,1
사업용,특수여객(장의),특수여객(장의),18시-20시,3,0,2,1,0
사업용,특수여객(장의),특수여객(장의),22시-24시,1,1,0,0,0
사업용,택시,법인택시,00시-02시,614,7,165,660,71
사업용,택시,법인택시,02시-04시,381,1,107,386,44
사업용,택시,법인택시,04시-06시,226,4,80,218,25
사업용,택시,법인택시,06시-08시,262,0,65,285,12
사업용,택시,법인택시,08시-10시,415,1,81,473,35
사업용,택시,법인택시,10시-12시,405,0,76,482,34
사업용,택시,법인택시,12시-14시,438,1,103,530,34
사업용,택시,법인택시,14시-16시,485,2,102,576,28
사업용,택시,법인택시,16시-18시,566,1,112,662,46
사업용,택시,법인택시,18시-20시,778,5,169,851,52
사업용,택시,법인택시,20시-22시,790,5,176,815,63
사업용,택시,법인택시,22시-24시,811,7,178,911,71
사업용,택시,개인택시,00시-02시,438,7,127,444,44
사업용,택시,개인택시,02시-04시,227,3,85,236,17
사업용,택시,개인택시,04시-06시,213,9,68,184,25
사업용,택시,개인택시,06시-08시,280,4,94,272,22
사업용,택시,개인택시,08시-10시,616,2,172,653,48
사업용,택시,개인택시,10시-12시,592,2,167,648,44
사업용,택시,개인택시,12시-14시,523,2,138,557,42
사업용,택시,개인택시,14시-16시,572,7,167,642,40
사업용,택시,개인택시,16시-18시,670,0,154,760,54
사업용,택시,개인택시,18시-20시,772,6,173,829,60
사업용,택시,개인택시,20시-22시,620,4,175,639,54
사업용,택시,개인택시,22시-24시,554,4,160,540,50
사업용,화물차,화물차,00시-02시,178,14,63,160,28
사업용,화물차,화물차,02시-04시,160,14,63,133,11
사업용,화물차,화물차,04시-06시,280,21,107,253,20
사업용,화물차,화물차,06시-08시,597,20,154,595,46
사업용,화물차,화물차,08시-10시,932,14,217,1012,84
사업용,화물차,화물차,10시-12시,879,13,241,1002,66
사업용,화물차,화물차,12시-14시,811,22,222,926,70
사업용,화물차,화물차,14시-16시,852,24,206,964,76
사업용,화물차,화물차,16시-18시,762,12,211,878,66
사업용,화물차,화물차,18시-20시,550,8,120,627,43
사업용,화물차,화물차,20시-22시,288,12,93,313,38
사업용,화물차,화물차,22시-24시,217,15,62,241,14
사업용,렌터카,렌터카,00시-02시,406,3,84,491,30
사업용,렌터카,렌터카,02시-04시,264,8,67,301,23
사업용,렌터카,렌터카,04시-06시,265,7,85,285,19
사업용,렌터카,렌터카,06시-08시,461,4,113,490,26
사업용,렌터카,렌터카,08시-10시,878,4,205,941,95
사업용,렌터카,렌터카,10시-12시,894,3,215,1037,93
사업용,렌터카,렌터카,12시-14시,1027,6,236,1220,97
사업용,렌터카,렌터카,14시-16시,998,6,223,1187,92
사업용,렌터카,렌터카,16시-18시,1168,15,256,1385,105
사업용,렌터카,렌터카,18시-20시,1222,9,253,1373,91
사업용,렌터카,렌터카,20시-22시,913,5,203,1067,94
사업용,렌터카,렌터카,22시-24시,614,9,139,706,37
사업용,콘크리트믹서,콘크리트믹서,06시-08시,5,0,1,4,2
사업용,콘크리트믹서,콘크리트믹서,08시-10시,61,3,20,62,2
사업용,콘크리트믹서,콘크리트믹서,10시-12시,72,2,18,74,5
사업용,콘크리트믹서,콘크리트믹서,12시-14시,61,3,13,57,2
